,Distribution,Base,Description
0,Red Hat Linux,RPM-based,Split into 
1,CentOS,RPM-based,Community-supported Linux distribution designed as an OpenSource version of RHEL and well suited for servers. Now sponsored by 
2,Fedora,RPM-based,Community-supported Linux distribution sponsored by 
3,openSUSE,RPM-based,"A community-developed Linux distribution, sponsored by "
4,Mandrake Linux,RPM-based,The first release was based on Red Hat Linux (version 5.1) and 
5,AlmaLinux,CentOS/RHEL-based,A 100% community owned and governed alternative 
6,Asianux,CentOS/RHEL-based,A Linux distribution co-developed between 
7,ClearOS,CentOS/RHEL-based,"A Linux distribution designed for use in small and medium enterprises.
"
8,Fermi Linux LTS,CentOS/RHEL-based,Based on Scientific Linux.
9,Miracle Linux,CentOS/RHEL-based,"Developed by Japanese software vendor Miracle Linux Co., Ltd
"
10,Oracle Linux,CentOS/RHEL-based,Supported by 
11,Red Flag Linux,CentOS/RHEL-based,"A Linux distribution developed in China and optimized for the Chinese market. Based on Asianux.
"
12,Rocks Cluster Distribution,CentOS/RHEL-based,"A Linux distribution for building a High-Performance Computing computer cluster, with a recent release supporting Cloud computing. It is based on "
13,Rocky Linux,CentOS/RHEL-based,"A Linux distribution that is currently in development by the CentOS founder, Gregory Kurtzer, aims to be compatible with Red Hat Enterprise Linux.
"
14,Scientific Linux,CentOS/RHEL-based,A discontinued Linux distribution co-developed by 
15,Amazon Linux 2,CentOS/RHEL-based,Amazon Linux 2 is available as an 
16,Berry Linux,Fedora-based,"A medium-sized Fedora-based distribution that provides support in Japanese and English.
"
17,BLAG Linux and GNU,Fedora-based,"A completely free software distribution.
"
18,EnGarde Secure Linux,Fedora-based,Server-only Linux distribution designed to be secure.
19,Fuduntu,Fedora-based,"Designed to fit in somewhere between Fedora and Ubuntu.
"
20,Hanthana,Fedora-based,"Designed to cater the needs of Sri Lankan computer users who are unable to access Internet frequently, with many most-wanted applications built in.
"
21,Korora,Fedora-based,"Initially aimed at easy installation of a Gentoo system by using install scripts instead of manual configuration. Now based on Fedora.
"
22,Linpus Linux,Fedora-based,"Focused on the Chinese market, along with Linpus Lite focused on the "
23,Linux XP,Fedora-based,Fedora-based shareware distribution designed to imitate the Windows environment using 
24,MeeGo,Fedora-based,"Built by Intel and Nokia, intended for mobile phones (mainly "
25,Moblin,Fedora-based,"Built around the Intel Atom processor; supplanted by Meego when Intel and (temporarily) Nokia combined activities
"
26,Network Security Toolkit,Fedora-based,"A Live CD/DVD with security and networking tools to perform routine security and networking diagnostic and monitoring tasks.
"
27,Qubes OS,Fedora-based,"Focused on security for desktop users. Based on an ""ancient"" Fedora release which we are somewhere said it to upgrade under "
28,Red Star OS,Fedora-based,"Red Star OS (Korean: 붉은별; MR: Pulgŭnbyŏl) is a North Korean Linux distribution, with development first starting in 1998 at the Korea Computer Center (KCC). It is offered only in a Korean language edition, localized with North Korean terminology and spelling.
"
29,Russian Fedora Remix,Fedora-based,"A remix of Fedora.
"
30,Sugar-on-a-Stick Linux,Fedora-based,"An educational operating system, originally designed for the "
31,Trustix,Fedora-based,A Linux distribution focused on security.
32,Yellow Dog Linux,Fedora-based,For the 
33,SUSE Linux Enterprise Desktop,openSUSE-based,Previously branded Novell Linux Desktop. A desktop-oriented Linux distribution supplied by 
34,SUSE Linux Enterprise Server,openSUSE-based,A server-oriented Linux distribution supplied by 
35,SUSE Studio,openSUSE-based,SuSE studio is the 
36,GeckoLinux,openSUSE-based,A distribution with a focus on polish and out-of-the-box desktop usability. It is available in 
37,Mandriva Linux,urpmi,"Open-source distribution (with exceptions), discontinued in 2011.
"
38,Mageia,urpmi,"A community Linux distribution initially forked from Mandriva Linux in response to the discontinuation of free versions of Mandriva Linux.
"
39,ROSA Linux,urpmi,"A Russian distribution available in three different editions: ROSA Desktop Fresh, ROSA Enterprise Desktop and ROSA Enterprise Linux Server, with the latter two aiming at commercial users. Its desktop editions come bundled with "
40,OpenMandriva,urpmi,"The last release of Mandriva Linux was in August 2011. Most developers who were laid off went to Mageia.[5] Later on, the remaining developers teamed up with community members and formed OpenMandriva, a continuation of Mandriva.
"
41,Unity Linux,urpmi,"Meant to be a base for custom distributions.
"
42,PCLinuxOS,apt-rpm,A 
43,Vine Linux,apt-rpm,"A Japanese distribution originally based on Red Hat Linux.
"
44,ALT Linux,apt-rpm,ALT Linux is a set of 
45,Caldera OpenLinux,Independent RPM distributions,A Linux distribution originally introduced by 
46,cAos Linux,Independent RPM distributions,"A general purpose Linux distribution. Designed to have low overhead, run on older hardware, and be easily customizable.
"
47,Turbolinux,Independent RPM distributions,"Originally based on Red Hat Linux.
"
48,Astra Linux,Debian-based,A distribution developed for the 
49,Bharat Operating System Solutions,Debian-based,An Indian Linux distribution
50,Canaima,Debian-based,A Venezuelan Linux distribution.
51,Corel Linux,Debian-based,"Short-lived commercial desktop Linux distribution, bought by "
52,CrunchBang Linux,Debian-based,"A small Linux Distro and Live CD based on Debian Stable, featuring the "
53,Deepin,Debian-based,"A Debian-based Chinese Linux Distribution developed by Wuhan Deepin Technology Co.
"
54,Devuan,Debian-based,A fork of Debian begun in 2014 with the primary goal of allowing user choice in 
55,Dreamlinux,Debian-based,"A discontinued Brazilian Linux distribution.
"
56,Emdebian Grip,Debian-based,"A small-footprint Linux distribution based on and compatible with Debian, intended for use on resource-limited embedded systems."
57,Finnix,Debian-based,A small system-administration Live CD that is available for multiple architectures
58,gNewSense,Debian-based,Originally based on 
59,grml,Debian-based,Live CD for system recovery
60,HandyLinux,Debian-based,Designed for 
61,Kanotix,Debian-based,"An installable live DVD/CD for desktop usage using KDE and LXDE, focusing on convenient scripts and GUI for ease of use."
62,Knoppix,Debian-based,The first Live CD (later DVD) version of 
63,Kurumin,Debian-based,"Earlier, it was a version of the Knoppix distribution, modified with Debian and designed for "
64,LEAF Project,Debian-based,"The Linux Embedded Appliance Framework. A tiny primarily floppy-based distribution for routers, firewalls and other appliances."
65,LiMux,Debian-based,An 
66,LMDE,Debian-based,A Debian-based version of 
67,Maemo,Debian-based,A development platform for hand held devices such as the 
68,MEPIS,Debian-based,Focuses on ease of use. Also includes a lightweight variant called antiX. antiX is meant to be used on older computers with limited hardware. There is also a Xfce distro called 
69,MintPPC,Debian-based,"For PowerPC computers. Although MintPPC uses some Linux Mint Debian Edition code, it is not Linux Mint."
70,Musix GNU+Linux,Debian-based,"Intended for music production, graphic design, audio, video editing, and other tasks. It is built with only "
71,NepaLinux,Debian-based,A Debian- and Morphix-based distribution focused for desktop usage in Nepali language computing.
72,OpenZaurus,Debian-based,Debian packages and ROM image for the 
73,Pardus,Debian-based,Developed by 
74,PelicanHPC,Debian-based,Dedicated to setting up a 
75,Q4OS,Debian-based,A 
76,Raspberry Pi OS,Debian-based,"Desktop-oriented distribution, formerly called Raspbian. Developed by the "
77,Sacix,Debian-based,Sacix is a 
78,Skolelinux,Debian-based,"A Linux distribution from Norway, now the basepoint for and now synonymous to Debian EDU. It provides as a "
79,Slax,Debian-based,"A lightweight Linux distribution now based on Debian, for low-powered computers. Its download size is about 300 MB, almost the same as Puppy Linux's. It can run from RAM, from Live CD, USB or hard drive. It was previously based on Slackware.
"
80,SolydXK,Debian-based,Xfce
81,SparkyLinux,Debian-based,"A Debian-based Linux distribution which provides ready to use, out of the box operating system with a set of slightly customized lightweight desktops. Sparky is targeted to all the computer's users who want replace existing, proprietary driven OS to an open-sourced..
"
82,Sunwah Linux,Debian-based,A Chinese Linux distribution
83,The Amnesic Incognito Live System,Debian-based,"The Amnesic Incognito Live System' or Tails is aimed at preserving privacy and anonymity, with all outgoing connections forced to go through "
